Name,Slug,URL,Status,Tags
Legend Maps,legend-maps,https://legendmaps.io/,development,roguelike
Forgotten Runes Wizard's Cult,forgotten-runes-wizards-cult,https://www.forgottenrunes.com/,development,rpg
The Red Village,the-red-village,https://theredvillage.com/,development,battler
GAWDS,gawds,https://gawds.xyz/,development,wagmigotchi
Damned Pirates Society,damned-pirates-society,https://www.damnedpiratessociety.io/,development,idle
Etholvants,etholvants,https://etholvants.com,live,idle
Battle For Evermore,battle-for-evermore,https://mud.xyz/,alpha,mud
Influence,influence,https://www.influenceth.io/,development,strategy
Illuvium,illuvium,https://www.illuvium.io/,development,rpg
Dark Forest,dark-forest,https://zkga.me/,live,rts
Wanderers,wanderers,https://linktr.ee/wanderverse,development,exploration
Dope Wars,dope-wars,https://dopewars.gg/,development,trading
Legends of Venari,legends-of-venari,https://legendsofvenari.com/,alpha,collecting
Parallel,parallel,https://parallel.life/,development,card
